Well,Sample Name,Detector,Task,Ct,Ct_mean,Sd_Ct,Qty,Qty_mean,Sd_Qty,Date,Operator,Cycler,Parasite,Sample_type,Feces_weight,Qubit,NanoDrop,Extraction,Beads_weight,Tm,Oocyst_1,Oocyst_2,Oocyst_3,Oocyst_4,Oocyst_5,Oocyst_6,Oocyst_7,Oocyst_8,Oocyst_count,Sporulated,Dilution_factor,Volume,Strain
A4,EfL_1,Eimeria,Unknown,14.56,14.12,0.387,1240000,1710000,427754.847,80720,Victor,ABI,E_falciformis,Oocysts,,9.36,13.7,Ceramic_beads,,73.5,80,83,58,60,67,55,75,76,,140,1,0.75,Bayer-Haberkorn
A5,EfL_1,Eimeria,Unknown,13.99,14.12,0.387,1830000,1710000,427754.847,80720,Victor,ABI,E_falciformis,Oocysts,,9.36,13.7,Ceramic_beads,,73.5,80,83,58,60,67,55,75,76,,140,1,0.75,Bayer-Haberkorn
A6,EfL_1,Eimeria,Unknown,13.82,14.12,0.387,2070000,1710000,427754.847,80720,Victor,ABI,E_falciformis,Oocysts,,9.36,13.7,Ceramic_beads,,73.5,80,83,58,60,67,55,75,76,,140,1,0.75,Bayer-Haberkorn
A7,Ef88_1,Eimeria,Unknown,16.04,15.58,0.41,443164,625707.52,164348.599,80720,Victor,ABI,E_falciformis,Oocysts,,1.19,1.8,Ceramic_beads,,73.7,11,14,22,13,17,15,22,17,,33,1,0.75,E88
A8,Ef88_1,Eimeria,Unknown,15.44,15.58,0.41,672047.56,625707.52,164348.599,80720,Victor,ABI,E_falciformis,Oocysts,,1.19,1.8,Ceramic_beads,,73.5,11,14,22,13,17,15,22,17,,33,1,0.75,E88
A9,Ef88_1,Eimeria,Unknown,15.26,15.58,0.41,761911,625707.52,164348.599,80720,Victor,ABI,E_falciformis,Oocysts,,1.19,1.8,Ceramic_beads,,73.5,11,14,22,13,17,15,22,17,,33,1,0.75,E88
B4,EfL_2,Eimeria,Unknown,21.35,19.39,1.802,11259.34,66322.25,60610.668,80720,Victor,ABI,E_falciformis,Oocysts,,2.2,3.2,Ceramic_beads,,74.2,1,1,2,2,1,1,1,1,,1,1,0.75,Bayer-Haberkorn
B5,EfL_2,Eimeria,Unknown,19.02,19.39,1.802,56441,66322.25,60610.668,80720,Victor,ABI,E_falciformis,Oocysts,,2.2,3.2,Ceramic_beads,,74,1,1,2,2,1,1,1,1,,1,1,0.75,Bayer-Haberkorn
B6,EfL_2,Eimeria,Unknown,17.8,19.39,1.802,131266.41,66322.25,60610.668,80720,Victor,ABI,E_falciformis,Oocysts,,2.2,3.2,Ceramic_beads,,74,1,1,2,2,1,1,1,1,,1,1,0.75,Bayer-Haberkorn
B7,Ef88_2,Eimeria,Unknown,18.15,16.85,1.442,102559.51,350938.76,340001.388,80720,Victor,ABI,E_falciformis,Oocysts,,3.71,6.1,Ceramic_beads,,74,11,10,11,4,7,8,6,3,,5,1,0.75,E88
B8,Ef88_2,Eimeria,Unknown,17.11,16.85,1.442,211819.16,350938.76,340001.388,80720,Victor,ABI,E_falciformis,Oocysts,,3.71,6.1,Ceramic_beads,,73.7,11,10,11,4,7,8,6,3,,5,1,0.75,E88
B9,Ef88_2,Eimeria,Unknown,15.3,16.85,1.442,738437.63,350938.76,340001.388,80720,Victor,ABI,E_falciformis,Oocysts,,3.71,6.1,Ceramic_beads,,73.7,11,10,11,4,7,8,6,3,,5,1,0.75,E88
C4,EfL_3,Eimeria,Unknown,23.76,21.74,1.911,2111.68,13849.2,13964.713,80720,Victor,ABI,E_falciformis,Oocysts,,2.58,4,Ceramic_beads,,74.4,0,1,3,1,1,1,1,2,,0,1,0.75,Bayer-Haberkorn
C5,EfL_3,Eimeria,Unknown,21.5,21.74,1.911,10142.67,13849.2,13964.713,80720,Victor,ABI,E_falciformis,Oocysts,,2.58,4,Ceramic_beads,,74.2,0,1,3,1,1,1,1,2,,0,1,0.75,Bayer-Haberkorn
C6,EfL_3,Eimeria,Unknown,19.96,21.74,1.911,29293.25,13849.2,13964.713,80720,Victor,ABI,E_falciformis,Oocysts,,2.58,4,Ceramic_beads,,74.2,0,1,3,1,1,1,1,2,,0,1,0.75,Bayer-Haberkorn
C7,Ef88_3,Eimeria,Unknown,17.36,16.41,1.239,177493.58,443062.18,399471.098,80720,Victor,ABI,E_falciformis,Oocysts,,2.79,3.2,Ceramic_beads,,74.2,22,20,20,15,11,18,16,15,,12,1,0.75,E88
C8,Ef88_3,Eimeria,Unknown,16.87,16.41,1.239,249224.16,443062.18,399471.098,80720,Victor,ABI,E_falciformis,Oocysts,,2.79,3.2,Ceramic_beads,,74,22,20,20,15,11,18,16,15,,12,1,0.75,E88
C9,Ef88_3,Eimeria,Unknown,15.01,16.41,1.239,902468.81,443062.18,399471.098,80720,Victor,ABI,E_falciformis,Oocysts,,2.79,3.2,Ceramic_beads,,74,22,20,20,15,11,18,16,15,,12,1,0.75,E88
D4,EfL_4,Eimeria,Unknown,19.3,17.58,1.706,46564.63,231387,233872.875,80720,Victor,ABI,E_falciformis,Oocysts,,2.96,2.12,Ceramic_beads,,74.4,7,7,6,4,5,6,7,8,,5,1,0.75,Bayer-Haberkorn
D5,EfL_4,Eimeria,Unknown,17.57,17.58,1.706,153278.27,231387,233872.875,80720,Victor,ABI,E_falciformis,Oocysts,,2.96,2.12,Ceramic_beads,,74.2,7,7,6,4,5,6,7,8,,5,1,0.75,Bayer-Haberkorn
D6,EfL_4,Eimeria,Unknown,15.88,17.58,1.706,494318.09,231387,233872.875,80720,Victor,ABI,E_falciformis,Oocysts,,2.96,2.12,Ceramic_beads,,74.2,7,7,6,4,5,6,7,8,,5,1,0.75,Bayer-Haberkorn
D7,Ef88_4,Eimeria,Unknown,19.47,18.1,1.59,41392.9,160360.14,171708.86,80720,Victor,ABI,E_falciformis,Oocysts,,2.56,4.9,Ceramic_beads,,74.2,3,3,6,5,3,1,6,2,,15,1,0.75,E88
D8,Ef88_4,Eimeria,Unknown,18.47,18.1,1.59,82479.16,160360.14,171708.86,80720,Victor,ABI,E_falciformis,Oocysts,,2.56,4.9,Ceramic_beads,,74,3,3,6,5,3,1,6,2,,15,1,0.75,E88
D9,Ef88_4,Eimeria,Unknown,16.35,18.1,1.59,357208.34,160360.14,171708.86,80720,Victor,ABI,E_falciformis,Oocysts,,2.56,4.9,Ceramic_beads,,74,3,3,6,5,3,1,6,2,,15,1,0.75,E88
E4,EfL_5,Eimeria,Unknown,15.3,14.47,0.806,742709.75,1460000,764667.791,80720,Victor,ABI,E_falciformis,Oocysts,,0.528,0.3,Ceramic_beads,,74.2,173,166,165,134,161,168,147,147,,252,1,0.5,Bayer-Haberkorn
E5,EfL_5,Eimeria,Unknown,14.41,14.47,0.806,1370000,1460000,764667.791,80720,Victor,ABI,E_falciformis,Oocysts,,0.528,0.3,Ceramic_beads,,74.2,173,166,165,134,161,168,147,147,,252,1,0.5,Bayer-Haberkorn
E6,EfL_5,Eimeria,Unknown,13.69,14.47,0.806,2260000,1460000,764667.791,80720,Victor,ABI,E_falciformis,Oocysts,,0.528,0.3,Ceramic_beads,,74,173,166,165,134,161,168,147,147,,252,1,0.5,Bayer-Haberkorn
E7,Ef88_5,Eimeria,Unknown,14.22,13.67,0.629,1560000,2440000,1100000,80720,Victor,ABI,E_falciformis,Oocysts,,8.2,5.61,Ceramic_beads,,74.2,337,326,351,399,380,330,362,391,,719,1,0.5,E88
