"","EH_ID","labels","dpi","weight","weight_dpi0","weightloss","fecweight_flot","Expe","Eimeria","fecweight_DNA","Conc_DNA","P260_280","P260_230","V_H2O","Moist","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","mean_Neubauer","oocysts.per.tube","OPG","Locality","Genome","Strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","Total_DNA","Microbial_density","Genome_copies_mean","Tm_mean","Infection","Genome_copies_ngDNA","DNA_sample","DNA_g_feces","Genome_copies_gFaeces"
"1","LM0204","KRW","4",18.62,19.26,3.3229491173,1.75,"Expe005_1b","E64",0.114,102,1.9,0.99,52,0,0,1,1,2,2,1,20000,11428.5714285714,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2","PWD","BUSNA","outbred hybrids",15.4285714286,1,3.06,0.0268421052631579,609423.562649726,74.5,"Positive",12188.4712529945,3060,26842.1052631579,327164228.369853
"2","LM0204","KOT","7",20.19,19.26,-4.8286604361,1.43,"Expe005_1b","E64",0.081,118.6,1.91,2.41,68.6,1,48,55,53,58,2,53.5,1070000,748251.748251748,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2","PWD","BUSNA","outbred hybrids",15.4285714286,1,3.558,0.0439259259259259,98548.8791196399,74.5,"Positive",1970.9775823928,3558,43925.9259259259,86577015.2858466
"3","LM0204","ILQ","1",19.08,19.26,0.9345794393,NA,"Expe005_1b","E64",0.283,39.9,1.81,0.32,NA,1,NA,NA,NA,NA,NA,NA,NA,0,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2","PWD","BUSNA","outbred hybrids",15.4285714286,1,1.197,0.00422968197879859,0,0,"Negative",0,1197,4229.68197879859,0
"4","LM0204","AEF","2",19.36,19.26,-0.5192107996,NA,"Expe005_1b","E64",0.14,131.6,1.87,2.23,81.6,1,NA,NA,NA,NA,NA,NA,NA,0,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2","PWD","BUSNA","outbred hybrids",15.4285714286,1,3.948,0.0282,0,0,"Negative",0,3948,28200,0
"5","LM0204","CIO","0",19.26,19.26,0,2.15,"Expe005_1b","E64",0.105,90.7,1.91,1.03,40.7,1,0,0,0,0,1,0,0,0,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2","PWD","BUSNA","outbred hybrids",15.4285714286,1,2.721,0.0259142857142857,0,0,"Negative",0,2721,25914.2857142857,0
"6","LM0204","AKU","6",19.92,19.26,-3.4267912773,1.5,"Expe005_1b","E64",0.129,121.4,1.89,1.48,71.4,1,388,342,414,380,1,381,3810000,2540000,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2","PWD","BUSNA","outbred hybrids",15.4285714286,1,3.642,0.0282325581395349,583539.701543267,74.3333333333333,"Positive",11670.7940308653,3642,28232.5581395349,329496371.010943
"7","LM0204","MTU","10",20.22,19.26,-4.984423676,1.38,"Expe005_1b","E64",NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2","PWD","BUSNA","outbred hybrids",15.4285714286,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","LM0204","JMO","8",20.42,19.26,-6.0228452752,1.76,"Expe005_1b","E64",0.146,126.5,1.84,1.57,76.5,0,1,0,1,5,1,1.75,17500,9943.18181818182,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2","PWD","BUSNA","outbred hybrids",15.4285714286,1,3.795,0.0259931506849315,9188.83185142953,74.5,"Positive",183.776637028591,3795,25993.1506849315,4776933.81865412
"9","LM0204","FWY","9",20.55,19.26,-6.6978193146,1.64,"Expe005_1b","E64",0.147,127.3,1.92,2.11,77.3,1,0,0,0,0,1,0,0,0,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2","PWD","BUSNA","outbred hybrids",15.4285714286,1,3.819,0.0259795918367347,745.578685881401,74.5,"Positive",14.911573717628,3819,25979.5918367347,387396.598827356
"10","LM0204","HLV","3",19.99,19.26,-3.790238837,1.05,"Expe005_1b","E64",0.095,146.8,1.86,0.52,96.8,0,0,0,0,0,1,0,0,0,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2","PWD","BUSNA","outbred hybrids",15.4285714286,1,4.404,0.0463578947368421,3903.44920996189,74.1666666666667,"Positive",78.0689841992379,4404,46357.8947368421,3619113.75172046
