labels,EH_ID,dpi,weight,weight_dpi0,weightloss,fecweight_flot,Expe,Eimeria,fecweight_DNA,Conc_DNA,P260_280,P260_230,V_H2O,Moist,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution
ABG,LM0219,3,19.05,19,-0.2631578947,1.65,Expe005_1b,E64,0.096,111.1,1.89,1.31,61.1,0,0,0,0,0,1
ABJ,LM0216,2,16.49,18.37,10.2340772999,NA,Expe005_1b,E64,0.115,124.3,1.83,2.17,74.3,0,NA,NA,NA,NA,NA
ABM,LM0213,6,14.03,15.39,8.8369070825,0.49,Expe005_1b,E64,0.063,106.6,1.88,1.76,56.6,0,72,64,69,75,1
ABY,LM0212,6,18.68,21.58,13.4383688601,0.85,Expe005_1b,E64,0.056,122.9,1.91,2.13,72.9,1,171,125,240,203,1
ACQ,LM0219,2,20.39,19,-7.3157894737,NA,Expe005_1b,E64,0.103,22.5,1.88,1.51,NA,1,NA,NA,NA,NA,NA
ADP,LM0207,9,17.39,17.27,-0.6948465547,0.76,Expe005_1b,E64,0.09,96.6,1.96,1.99,46.6,1,20,9,8,8,1
ADQ,LM0214,2,27.31,27.43,0.4374772147,NA,Expe005_1b,E64,0.179,82.6,1.9,1.85,32.6,0,NA,NA,NA,NA,NA
AEF,LM0204,2,19.36,19.26,-0.5192107996,NA,Expe005_1b,E64,0.14,131.6,1.87,2.23,81.6,1,NA,NA,NA,NA,NA
AEL,LM0218,8,20.95,20.36,-2.8978388998,1.57,Expe005_1b,E64,0.185,55.3,1.8,1.22,5.3,1,4,4,3,3,2
AFO,LM0209,5,20.32,22.09,8.0126754187,1.11,Expe005_1b,E64,0.132,85.3,1.83,1.76,35.3,1,3,5,6,9,1
AFV,LM0208,4,22.74,22.82,0.3505696757,1.7,Expe005_1b,E64,0.173,95.6,1.89,1.97,45.6,1,1,0,0,0,1
AGH,LM0225,8,29.04,28.05,-3.5294117647,1.2,Expe005_1b,E64,0.154,157.3,1.91,2.31,107.3,1,0,2,2,0,1
AGM,LM0223,2,21.77,20.73,-5.0168837434,NA,Expe005_1b,E64,0.149,154.4,1.75,3.36,104.4,1,NA,NA,NA,NA,NA
AGO,LM0220,0,19.72,19.72,0,1.41,Expe005_1b,E64,0.084,80.6,1.84,0.83,30.6,0,0,0,0,0,1
AIR,LM0223,5,21.4,20.73,-3.2320308731,0.65,Expe005_1b,E64,0.06,140.5,1.89,2.12,90.5,0,4,2,3,5,1
AIS,LM0206,4,15.86,16.97,6.5409546258,0.88,Expe005_1b,E64,0.221,94.7,1.95,0.43,44.7,1,0,0,0,0,1
AJX,LM0218,9,20.4,20.36,-0.1964636542,1.17,Expe005_1b,E64,0.077,125.3,1.87,1.89,75.3,1,0,0,0,0,1
AKQ,LM0222,6,21.38,23.99,10.8795331388,0.87,Expe005_1b,E64,0.126,62.5,1.9,0.64,12.5,0,20,30,16,26,1
AKR,LM0220,6,19.2,19.72,2.6369168357,1.21,Expe005_1b,E64,0.077,64.4,1.89,1.39,14.4,0,227,266,329,330,1
AKU,LM0204,6,19.92,19.26,-3.4267912773,1.5,Expe005_1b,E64,0.129,121.4,1.89,1.48,71.4,1,388,342,414,380,1
AKV,LM0218,7,20.83,20.36,-2.3084479371,1.78,Expe005_1b,E64,0.074,117.3,1.88,1.35,67.3,0,39,40,34,40,1
ALQ,LM0223,8,21.24,20.73,-2.4602026049,0.95,Expe005_1b,E64,0.093,51.8,1.94,1.59,1.8,1,1,1,0,0,1
ALS,LM0219,1,20.11,19,-5.8421052632,NA,Expe005_1b,E64,0.113,63.6,1.85,1.63,13.6,0,NA,NA,NA,NA,NA
ALT,LM0210,9,17.48,15.65,-11.6932907348,1,Expe005_1b,E64,0.05,71.9,1.98,1.4,21.9,0,1,0,0,0,1
ALW,LM0216,8,17.04,18.37,7.2400653239,1.62,Expe005_1b,E64,0.078,158.1,1.84,2.04,108.1,0,0,0,0,0,1
AMT,LM0216,10,17.79,18.37,3.1573217202,0.93,Expe005_1b,E64,0.16,102.8,1.83,1.84,52.8,1,0,1,0,1,1
AMW,LM0224,9,19.56,19.21,-1.8219677251,1.96,Expe005_1b,E64,0.125,92.7,1.92,1.36,42.7,1,0,2,1,2,1
ANQ,LM0207,3,17.25,17.27,0.1158077591,0.53,Expe005_1b,E64,0.058,88.4,1.87,2.09,38.4,0,0,0,0,0,1
AOQ,LM0218,2,20.75,20.36,-1.9155206287,NA,Expe005_1b,E64,0.116,56.4,1.86,0.75,6.4,0,NA,NA,NA,NA,NA
AOU,LM0223,3,20.46,20.73,1.3024602026,1.13,Expe005_1b,E64,0.106,94.5,1.88,1.03,44.5,1,0,0,0,0,2
APU,LM0211,9,17.73,17.42,-1.7795637199,0.94,Expe005_1b,E64,0.044,95.6,1.92,1.3,45.6,0,3,0,4,3,1
AQR,LM0221,3,19.16,19.73,2.8890015205,1.05,Expe005_1b,E64,0.161,99.5,1.86,1.35,49.5,1,0,0,0,0,1
ASY,LM0209,10,22.55,22.09,-2.0823902218,1.24,Expe005_1b,E64,0.204,115.4,1.85,1.45,65.4,1,0,0,0,0,1
BDM,LM0220,4,19.38,19.72,1.724137931,1.23,Expe005_1b,E64,0.064,60.1,1.88,1.73,10.1,0,1,1,0,0,1.5
BDV,LM0216,5,15.06,18.37,18.0185084377,0.39,Expe005_1b,E64,0.054,115.5,1.83,1.5,65.5,0,9,12,16,8,1
BEM,LM0206,6,16.29,16.97,4.0070713023,1.33,Expe005_1b,E64,0.117,133.5,1.87,1.73,83.5,1,519,396,575,455,1
BEP,LM0207,7,16.71,17.27,3.2426172554,0.91,Expe005_1b,E64,0.046,86,1.93,2.41,36,0,138,102,156,87,1
BFN,LM0221,8,18.63,19.73,5.5752660922,1.45,Expe005_1b,E64,0.082,56.7,1.88,1.1,6.7,1,3,3,4,3,1
BFX,LM0216,6,16.92,18.37,7.8933043005,1.26,Expe005_1b,E64,0.068,152.6,1.93,2.2,102.6,0,208,204,224,211,1
BHT,LM0207,5,16,17.27,7.3537927041,0.25,Expe005_1b,E64,0.133,132.5,1.87,1.94,82.5,1,7,15,13,13,1
BHY,LM0225,10,28.64,28.05,-2.1033868093,1.01,Expe005_1b,E64,0.196,106.4,1.87,1.79,56.4,1,0,0,1,0,1
BIN,LM0222,3,22.48,23.99,6.2942892872,1.3,Expe005_1b,E64,0.119,3.7,1.49,0.41,NA,0,0,0,0,0,1.5
BKM,LM0210,3,16.08,15.65,-2.7476038339,1,Expe005_1b,E64,0.059,68.7,1.85,1.88,18.7,0,0,0,0,0,1
BKT,LM0211,0,17.42,17.42,0,1.38,Expe005_1b,E64,0.069,96.2,1.89,0.83,46.2,0,0,0,0,0,1
BLR,LM0226,3,15.66,15.16,-3.2981530343,1.43,Expe005_1b,E64,0.115,107.7,1.92,2.1,57.7,1,0,0,0,0,1
BLW,LM0220,7,19.1,19.72,3.1440162272,1.02,Expe005_1b,E64,0.049,86.1,1.89,0.66,36.1,0,36,38,38,28,1
BNW,LM0207,8,17.2,17.27,0.4053271569,0.83,Expe005_1b,E64,0.112,47.3,1.91,1.32,NA,0,17,36,30,29,1
BNY,LM0224,10,19.63,19.21,-2.1863612702,1.75,Expe005_1b,E64,0.137,88.7,1.87,2.06,38.7,0,2,1,0,0,1
BOS,LM0218,5,19.9,20.36,2.2593320236,0.72,Expe005_1b,E64,0.099,28.9,1.83,1.13,NA,1,14,22,9,12,1
BOU,LM0210,0,15.65,15.65,0,1.43,Expe005_1b,E64,0.172,31.6,1.76,2.18,NA,1,0,0,0,0,1
