"","names_ASVs","species","BS"
"1","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R_ASV_1","ferrisi","90"
"2","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R_ASV_2","ferrisi","90"
"3","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R_ASV_3","falciformis","63"
"4","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R_ASV_4","sp",NA
"5","D3A_5Mod_46_F.D3B_5Mod_46_R_ASV_1","28S",NA
"6","D3A_5Mod_46_F.D3B_5Mod_46_R_ASV_2","28S",NA
"7","D3A_5Mod_46_F.D3B_5Mod_46_R_ASV_3","28S",NA
"8","D3A_5Mod_46_F.D3B_5Mod_46_R_ASV_4","28S",NA
"9","D3A_5Mod_46_F.D3B_5Mod_46_R_ASV_5","28S",NA
"10","D3A_5Mod_46_F.D3B_5Mod_46_R_ASV_6","28S",NA
"11","D3A_5Mod_46_F.D3B_5Mod_46_R_ASV_7","28S",NA
"12","D3A_5Mod_46_F.D3B_5Mod_46_R_ASV_8","28S",NA
"13","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R_ASV_1","ferrisi","98"
"14","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R_ASV_2","falciformis","68"
"15","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R_ASV_3","vermiformis","96"
"16","MarkN_10_F.Euk360_CR_21_R_ASV_1","ferrisi","69"
"17","MarkN_10_F.Euk360_CR_21_R_ASV_2","ferrisi","69"
"18","MarkN_10_F.Euk360_CR_21_R_ASV_3","ferrisi","69"
"19","MarkN_10_F.Euk360_CR_21_R_ASV_4","ferrisi","69"
"20","MarkN_10_F.Euk360_CR_21_R_ASV_5","falciformis","96"
"21","Hadz_566_6_F.Nem_0425_4_2_R_ASV_1","ferrisi","99"
"22","MarkN_10_F.Proti440R_28_R_ASV_1","ferrisi","76"
"23","MarkN_10_F.Proti440R_28_R_ASV_2","ferrisi","76"
"24","MarkN_10_F.Proti440R_28_R_ASV_3","ferrisi","76"
"25","MarkN_10_F.Proti440R_28_R_ASV_4","ferrisi","76"
"26","MarkN_10_F.Proti440R_28_R_ASV_5","falciformis","96"
"27","Gen_600_7_F.Nem_0425_4_2_R_ASV_1","ferrisi","99"
"28","Gen_600_7_F.Nem_0425_4_2_R_ASV_2","ferrisi","99"
"29","Gen_600_7_F.Nem_0425_4_2_R_ASV_3","falciformis","86"
"30","Prot1702_32_F.wang1624CR6S_16_R_ASV_1","ferrisi","98"
"31","Prot1702_32_F.wang1624CR6S_16_R_ASV_2","falciformis","62"
"32","wang1141_13_F.Nem_0425_6_3_R_ASV_1","ferrisi","97"
"33","wang1141_13_F.Nem_0425_6_3_R_ASV_2","falciformis","43"
"34","Nem_0425_6CR_14_F.EukB_MH_24_R_ASV_1","ferrisi","82"
"35","Nem_0425_6CR_14_F.EukB_MH_24_R_ASV_2","falciformis","68"
"36","Proti15_25_F.Proti440R_28_R_ASV_1","ferrisi","97"
"37","Proti15_25_F.Proti440R_28_R_ASV_2","falciformis","52"
